"","Date","country","cases","year"
"340",2003-11-09,"Argentina",166,2003
"341",2003-11-09,"Austria",661,2003
"342",2003-11-09,"Belgium",74,2003
"343",2003-11-09,"Bolivia",427,2003
"344",2003-11-09,"Brazil",218,2003
"345",2003-11-09,"Canada",2335,2003
"346",2003-11-09,"Chile",4,2003
"347",2003-11-09,"France",146,2003
"348",2003-11-09,"Germany",1103,2003
"349",2003-11-09,"Japan",17,2003
"350",2003-11-09,"Mexico",957,2003
"351",2003-11-09,"Netherlands",22,2003
"352",2003-11-09,"Peru",380,2003
"353",2003-11-09,"Romania",655,2003
"354",2003-11-09,"Spain",141,2003
"355",2003-11-09,"Switzerland",20,2003
"356",2003-11-09,"United States",1702,2003
"357",2003-11-09,"Uruguay",136,2003
"358",2003-11-16,"Argentina",149,2003
"359",2003-11-16,"Austria",708,2003
"360",2003-11-16,"Belgium",133,2003
"361",2003-11-16,"Bolivia",424,2003
"362",2003-11-16,"Brazil",239,2003
"363",2003-11-16,"Canada",2731,2003
"364",2003-11-16,"Chile",1,2003
"365",2003-11-16,"France",274,2003
"366",2003-11-16,"Germany",1142,2003
"367",2003-11-16,"Japan",22,2003
"368",2003-11-16,"Mexico",894,2003
"369",2003-11-16,"Netherlands",23,2003
"370",2003-11-16,"Peru",351,2003
"371",2003-11-16,"Romania",725,2003
"372",2003-11-16,"Spain",170,2003
"373",2003-11-16,"Switzerland",19,2003
"374",2003-11-16,"United States",2148,2003
"375",2003-11-16,"Uruguay",138,2003
"376",2003-11-23,"Argentina",133,2003
"377",2003-11-23,"Austria",822,2003
"378",2003-11-23,"Belgium",273,2003
"379",2003-11-23,"Bolivia",408,2003
"380",2003-11-23,"Brazil",201,2003
"381",2003-11-23,"Canada",3138,2003
"382",2003-11-23,"Chile",2,2003
"383",2003-11-23,"France",877,2003
"384",2003-11-23,"Germany",991,2003
"385",2003-11-23,"Japan",25,2003
"386",2003-11-23,"Mexico",880,2003
"387",2003-11-23,"Netherlands",24,2003
"388",2003-11-23,"Peru",327,2003
"389",2003-11-23,"Romania",788,2003
"390",2003-11-23,"Spain",158,2003
"391",2003-11-23,"Switzerland",20,2003
"392",2003-11-23,"United States",2968,2003
"393",2003-11-23,"Uruguay",134,2003
"394",2003-11-30,"Argentina",123,2003
"395",2003-11-30,"Austria",652,2003
"396",2003-11-30,"Belgium",725,2003
"397",2003-11-30,"Bolivia",388,2003
"398",2003-11-30,"Brazil",177,2003
"399",2003-11-30,"Canada",4229,2003
"400",2003-11-30,"Chile",2,2003
"401",2003-11-30,"France",1282,2003
"402",2003-11-30,"Germany",1071,2003
"403",2003-11-30,"Japan",33,2003
"404",2003-11-30,"Mexico",979,2003
"405",2003-11-30,"Netherlands",55,2003
"406",2003-11-30,"Peru",316,2003
"407",2003-11-30,"Romania",844,2003
"408",2003-11-30,"Spain",73,2003
"409",2003-11-30,"Switzerland",42,2003
"410",2003-11-30,"United States",3524,2003
"411",2003-11-30,"Uruguay",124,2003
"412",2003-12-07,"Argentina",121,2003
"413",2003-12-07,"Austria",719,2003
"414",2003-12-07,"Belgium",832,2003
"415",2003-12-07,"Bolivia",368,2003
"416",2003-12-07,"Brazil",154,2003
"417",2003-12-07,"Canada",5303,2003
"418",2003-12-07,"Chile",1,2003
"419",2003-12-07,"France",634,2003
"420",2003-12-07,"Germany",1287,2003
"421",2003-12-07,"Japan",47,2003
"422",2003-12-07,"Mexico",1025,2003
"423",2003-12-07,"Netherlands",121,2003
"424",2003-12-07,"Peru",375,2003
"425",2003-12-07,"Romania",1165,2003
"426",2003-12-07,"Spain",83,2003
"427",2003-12-07,"Switzerland",110,2003
"428",2003-12-07,"United States",5389,2003
"429",2003-12-07,"Uruguay",130,2003
"430",2003-12-14,"Argentina",109,2003
"431",2003-12-14,"Austria",862,2003
"432",2003-12-14,"Belgium",729,2003
"433",2003-12-14,"Bolivia",344,2003
"434",2003-12-14,"Brazil",137,2003
"435",2003-12-14,"Canada",7531,2003
"436",2003-12-14,"Chile",1,2003
"437",2003-12-14,"France",457,2003
"438",2003-12-14,"Germany",1214,2003
"439",2003-12-14,"Japan",72,2003
"440",2003-12-14,"Mexico",1242,2003
"441",2003-12-14,"Netherlands",159,2003
"442",2003-12-14,"Peru",333,2003
"443",2003-12-14,"Romania",1434,2003
"444",2003-12-14,"Spain",53,2003
"445",2003-12-14,"Switzerland",187,2003
"446",2003-12-14,"United States",7276,2003
"447",2003-12-14,"Uruguay",117,2003
"448",2003-12-21,"Argentina",103,2003
"449",2003-12-21,"Austria",824,2003
"450",2003-12-21,"Belgium",265,2003
"451",2003-12-21,"Bolivia",342,2003
"452",2003-12-21,"Brazil",148,2003
"453",2003-12-21,"Canada",7014,2003
"454",2003-12-21,"Chile",1,2003
"455",2003-12-21,"France",275,2003
"456",2003-12-21,"Germany",950,2003
"457",2003-12-21,"Japan",101,2003
"458",2003-12-21,"Mexico",1346,2003
"459",2003-12-21,"Netherlands",177,2003
"460",2003-12-21,"Peru",322,2003
"461",2003-12-21,"Romania",1304,2003
"462",2003-12-21,"Spain",27,2003
"463",2003-12-21,"Switzerland",303,2003
"464",2003-12-21,"United States",8196,2003
"465",2003-12-21,"Uruguay",109,2003
"466",2003-12-28,"Argentina",100,2003
"467",2003-12-28,"Austria",898,2003
"468",2003-12-28,"Belgium",159,2003
